accx,accy,accz,gyrox,gyroy,gyroz,accanglex,accangley,gyroanglex,gyroangley,gyroanglez,anglex,angley,anglez,Out
1,0.08,-0.15,-0.03,0.05,-0.07,5.62,-93.52,-47.18,-54.81,362.32,3.8,-95.2,362.32,0
1,0.09,-0.14,-0.15,0.02,-0.13,6.24,-92.88,-47.19,-54.81,362.31,3.83,-95.15,362.31,0
1,0.09,-0.14,0.15,-0.09,0.18,5.86,-93.06,-47.18,-54.82,362.32,3.88,-95.12,362.32,0
1,0.09,-0.14,-0.06,0.11,0.1,5.78,-93.23,-47.18,-54.81,362.33,3.92,-95.07,362.33,0
1.01,0.09,-0.14,-0.12,-0.06,0.02,5.72,-92.79,-47.19,-54.81,362.33,3.94,-95.03,362.33,0
1,0.09,-0.14,0.07,-0.06,0.09,6.03,-92.6,-47.19,-54.82,362.34,3.99,-94.99,362.34,0
1,0.08,-0.14,0.03,0.08,-0.1,5.63,-93.3,-47.18,-54.81,362.33,4.03,-94.94,362.33,0
1,0.08,-0.14,0.06,-0.07,0.12,5.24,-93.5,-47.18,-54.82,362.34,4.06,-94.92,362.34,0
1,0.09,-0.15,0.04,0.2,0.04,6.22,-93.13,-47.19,-54.79,362.35,4.16,-94.78,362.35,0
1,0.08,-0.14,0.1,-0.23,-0.13,5.42,-93.33,-47.18,-54.81,362.34,4.2,-94.78,362.34,0
1,0.1,-0.15,-0.03,0.09,0.1,6.47,-92.95,-47.18,-54.8,362.35,4.24,-94.73,362.35,0
1,0.08,-0.14,-0.19,-0.14,-0.08,5.24,-93.34,-47.2,-54.82,362.34,4.24,-94.72,362.34,0
1.01,0.1,-0.15,0.04,0.22,0.13,6.42,-92.73,-47.19,-54.8,362.35,4.29,-94.65,362.35,0
1.01,0.08,-0.14,0.07,-0.09,0.25,5.36,-93.43,-47.19,-54.81,362.38,4.32,-94.64,362.38,0
1,0.09,-0.14,0.26,-0.06,0.02,6.04,-92.73,-47.16,-54.81,362.38,4.38,-94.61,362.38,0
1,0.09,-0.15,0.1,0.02,-0.16,5.97,-93.69,-47.15,-54.81,362.37,4.42,-94.59,362.37,0
1,0.08,-0.15,0.06,0.09,0.09,5.67,-93.52,-47.15,-54.8,362.37,4.45,-94.56,362.37,0
1,0.09,-0.14,-0.05,0.02,-0.01,6.05,-93.08,-47.15,-54.8,362.37,4.48,-94.53,362.37,0
1,0.09,-0.15,0.06,0.08,-0.1,5.99,-93.49,-47.15,-54.79,362.36,4.51,-94.5,362.36,0
1.01,0.09,-0.15,-0.03,0.26,0.06,6.15,-93.13,-47.15,-54.77,362.37,4.54,-94.45,362.37,0
1,0.09,-0.14,-0.02,-0.09,-0.01,5.73,-93.32,-47.15,-54.78,362.37,4.56,-94.43,362.37,0
1,0.08,-0.15,0.18,-0.14,0.09,5.57,-93.82,-47.13,-54.79,362.38,4.6,-94.43,362.38,0
1,0.08,-0.14,0.14,0.09,0.04,5.54,-93.29,-47.12,-54.78,362.38,4.63,-94.4,362.38,0
1.01,0.09,-0.15,0.06,0.22,-0.01,5.85,-93.25,-47.11,-54.76,362.38,4.66,-94.36,362.38,0
1,0.09,-0.15,-0.03,-0.09,0.02,5.75,-93.65,-47.12,-54.77,362.38,4.68,-94.35,362.38,0
1.01,0.09,-0.16,0.01,0.18,0.18,6.23,-93.52,-47.12,-54.75,362.4,4.71,-94.32,362.4,0
0.99,0.08,-0.13,0.17,-0.14,-0.11,5.02,-93.14,-47.1,-54.76,362.39,4.73,-94.31,362.39,0
1.01,0.09,-0.16,-0.08,0.05,-0.1,5.86,-93.87,-47.11,-54.76,362.38,4.75,-94.29,362.38,0
1,0.07,-0.14,0.17,-0.07,0.09,4.9,-93.95,-47.09,-54.77,362.39,4.77,-94.29,362.39,0
1.01,0.09,-0.15,0.04,-0.17,-0.05,6.17,-93.4,-47.09,-54.78,362.38,4.8,-94.29,362.38,0
1,0.08,-0.14,0.03,0.03,-0.11,5.41,-93.39,-47.09,-54.78,362.37,4.81,-94.27,362.37,0
1,0.1,-0.15,0.03,0.29,0.21,6.93,-92.76,-47.08,-54.75,362.39,4.86,-94.21,362.39,0
1,0.09,-0.14,0.06,0.23,0.13,5.82,-92.72,-47.09,-54.74,362.4,4.91,-94.14,362.4,0
1,0.09,-0.14,-0.12,-0.23,-0.05,5.72,-92.83,-47.1,-54.76,362.39,4.91,-94.13,362.39,0
1.01,0.09,-0.14,0.03,0.02,0.04,5.95,-92.65,-47.1,-54.76,362.4,4.94,-94.1,362.4,0
1,0.08,-0.14,-0.15,-0.15,0.01,5.63,-93.42,-47.12,-54.78,362.4,4.94,-94.1,362.4,0
1.01,0.09,-0.16,0.1,0.12,0.01,6.06,-93.84,-47.11,-54.77,362.4,4.97,-94.09,362.4,0
1.01,0.09,-0.14,-0.02,0.11,0.12,5.9,-93,-47.11,-54.75,362.41,4.98,-94.05,362.41,0
0.99,0.08,-0.14,0.03,-0.15,0.06,5.5,-93.52,-47.1,-54.77,362.42,5,-94.06,362.42,0
1.01,0.08,-0.15,-0.11,-0.14,0.16,5.21,-93.95,-47.11,-54.78,362.43,4.99,-94.07,362.43,0
1,0.09,-0.16,-0.05,0.06,0.04,5.96,-94.08,-47.12,-54.78,362.43,5.01,-94.06,362.43,0
1,0.08,-0.14,0.09,-0.03,0.09,5.58,-93.17,-47.11,-54.78,362.44,5.03,-94.05,362.44,0
1,0.1,-0.14,-0.02,-0.07,0.13,6.47,-92.73,-47.11,-54.79,362.46,5.05,-94.03,362.46,0
0.97,0.1,-0.14,-0.02,-0.52,0.01,6.71,-92.63,-47.11,-54.83,362.46,5.09,-94.05,362.46,0
0.99,0.09,-0.14,0.01,0.11,0.27,5.89,-92.93,-47.11,-54.82,362.48,5.1,-94.02,362.48,0
0.98,0.09,-0.15,-0.15,-0.11,-0.13,6.47,-92.92,-47.13,-54.83,362.47,5.12,-94,362.47,0
