accx,accy,accz,gyrox,gyro y,gyro z,accanglex,accangley,gyroanglex,gyroangley,gyroanglez,angle x,angle y,angle z
-0.05,-1,-0.11,2.57,-4.76,0.04,-93.83,2.94,22.46,321.76,2417.12,-64.69,37.53,2417.12
-0.05,-1.01,-0.11,0.96,-6.04,0.38,-93.36,3.43,22.55,321.17,2417.15,-65.17,36.26,2417.15
-0.05,-1.01,-0.1,2.69,-4.77,4.88,-92.92,3.14,22.82,320.69,2417.64,-65.47,35.13,2417.64
-0.06,-0.99,-0.1,2.54,-7.74,5.49,-92.35,4.03,23.07,319.93,2418.18,-65.76,33.77,2418.18
-0.06,-1,-0.12,3.48,-3.6,2.32,-93.56,3.83,23.41,319.58,2418.41,-65.98,32.82,2418.41
-0.04,-1,-0.1,2.52,-4.62,1.58,-93.56,2.5,23.66,319.12,2418.57,-66.28,31.77,2418.57
-0.04,-1.01,-0.11,1.07,-3.46,1.8,-93.51,2.73,23.77,318.78,2418.74,-66.73,30.85,2418.74
-0.06,-1,-0.12,4.86,-2.42,2.74,-93.55,3.58,24.24,318.54,2419.01,-66.8,30.07,2419.01
-0.05,-1.01,-0.12,1.39,-5.84,1.07,-94.18,3.03,24.38,317.96,2419.12,-67.21,28.97,2419.12
-0.06,-1,-0.11,1.25,-5.81,1.87,-93.04,3.6,24.5,317.39,2419.3,-67.6,27.9,2419.3
-0.06,-1,-0.11,0.95,-7.48,5.37,-92.94,3.65,24.6,316.66,2419.83,-68.02,26.7,2419.83
-0.04,-1.01,-0.13,5.33,-5.45,0.85,-94.95,2.52,25.13,316.12,2419.91,-68.04,25.69,2419.91
-0.05,-0.99,-0.1,2.9,-5.49,2.38,-92.59,3.34,25.41,315.58,2420.14,-68.25,24.71,2420.14
-0.05,-1.01,-0.12,2.95,-4.65,1.2,-94.02,3.02,26.51,313.24,2421.05,-69.6,20.49,2421.05
-0.06,-1,-0.11,1.88,-5.51,2.78,-93.09,3.76,26.7,312.7,2421.32,-69.89,19.62,2421.32
-0.06,-1,-0.11,3.59,-6.01,0.16,-92.93,3.72,27.05,312.1,2421.34,-70,18.72,2421.34
-0.03,-1,-0.11,1.51,-6.99,3.94,-94.19,2.13,27.2,311.42,2421.72,-70.34,17.72,2421.72
-0.06,-1,-0.11,2.86,-3.58,-0.28,-93.04,3.79,27.49,311.06,2421.7,-70.52,17.09,2421.7
-0.05,-1,-0.11,1.53,-5.96,1,-93.74,2.95,27.64,310.47,2421.8,-70.83,16.22,2421.8
-0.05,-1.02,-0.12,1.24,1.27,0.59,-93.75,3.09,27.76,310.59,2421.85,-71.17,16.09,2421.85
-0.04,-1.01,-0.12,6.69,-1.89,0.33,-94.61,2.51,28.42,310.41,2421.89,-71,15.63,2421.89
-0.05,-1,-0.11,2.8,-1.92,2.87,-93.58,3.29,28.7,310.22,2422.17,-71.18,15.2,2422.17
-0.05,-1,-0.11,4.22,-2.61,2.26,-93.46,3.34,29.11,309.96,2422.39,-71.22,14.71,2422.39
-0.05,-1.01,-0.1,5.67,0.55,9.02,-93,2.91,29.68,310.02,2423.29,-71.1,14.53,2423.29
-0.05,-1,-0.1,12.92,3.65,7.58,-93.34,2.92,30.93,310.37,2424.03,-70.31,14.65,2424.03
-0.05,-1.01,-0.1,17.94,1.39,-10.63,-92.85,3.01,32.7,310.51,2422.98,-69.02,14.55,2422.98
-0.05,-1,-0.1,6.95,1.62,-7.68,-92.56,3.26,33.73,309.56,2425.95,-69.78,12.88,2425.95
-0.03,-1.01,-0.07,-1.49,-11.48,6.01,-92.4,1.97,33.58,308.43,2426.54,-70.38,11.56,2426.54
-0.04,-1.02,-0.1,-8.23,-8.8,10.32,-93.16,2.42,32.75,307.54,2427.58,-71.65,10.5,2427.58
-0.09,-0.99,-0.12,2.84,-3.63,-0.75,-91.81,6.05,33.04,307.18,2427.51,-71.77,10.05,2427.51
-0.06,-1,-0.08,3.91,-8.74,0.88,-91.42,3.78,33.43,306.3,2427.6,-71.78,9.07,2427.6
-0.09,-0.99,-0.09,-6.36,-8.91,12.61,-89.93,5.5,32.81,305.44,2428.82,-72.75,8.15,2428.82
-0.09,-1.01,-0.11,2.35,-6.04,3.68,-91.05,5.97,33.05,304.83,2429.19,-72.88,7.51,2429.19
-0.09,-1.01,-0.12,4.72,-6.48,0.42,-92,5.67,33.51,304.2,2429.23,-72.82,6.86,2429.23
-0.08,-1,-0.1,1.3,-2.7,1.9,-91.12,5.19,33.64,303.93,2429.42,-73.06,6.57,2429.42
-0.08,-1,-0.12,1.56,-5.83,-0.61,-92.28,4.9,33.79,303.36,2429.36,-73.29,5.97,2429.36
-0.09,-0.99,-0.11,2.09,-7.67,-1.94,-91.16,5.54,34,302.6,2429.16,-73.45,5.22,2429.16
-0.07,-1.01,-0.1,-1.4,-10.8,4.06,-91.97,4.38,33.86,301.54,2429.56,-73.95,4.17,2429.56
