accX,accY,accZ,gyroX,gyroY,gyroZ,accangleX,accAngleY,gyroangleX,gyroAngleY,gyroAngleZ,angleX,angleY,angleZ
-0.41,0.13,-0.93,-0.68,-2.18,-2.13,165.58,152.84,484.72,-54.75,120.13,189.46,108.22,120.13
-0.42,0.14,-0.92,1.23,-3.63,-1.05,164.05,151.38,484.85,-55.12,120.03,189.08,108.72,120.03
-0.42,0.14,-0.91,1.58,-4.83,-2.01,163.82,151.46,485.01,-55.61,119.82,188.73,109.1,119.82
-0.43,0.13,-0.91,1.95,-4.69,-3.12,164.58,151.08,485.2,-56.08,119.51,188.43,109.48,119.51
-0.41,0.14,-0.91,-0.66,-1.89,-3.64,164.91,152.27,485.14,-56.27,119.15,187.9,110.15,119.15
-0.42,0.14,-0.92,0.79,-2.85,-1.49,164.6,151.95,485.22,-56.56,118.99,187.51,110.7,118.99
-0.41,0.13,-0.91,0.68,-2.89,1.09,165.39,152.41,485.29,-56.85,119.1,187.14,111.25,119.1
-0.42,0.14,-0.92,1.12,-2.47,-1.05,164.98,152.17,485.4,-57.1,119,186.8,111.83,119
-0.42,0.13,-0.9,-1.99,-13.27,-0.63,165.35,151.58,485.2,-58.43,118.93,186.18,111.32,118.93
-0.42,0.14,-0.91,-1.87,-8.86,1.41,164.2,151.27,485.01,-59.34,119.08,185.55,111.22,119.08
-0.42,0.14,-0.92,-0.43,-4.18,-1.25,164.61,151.57,484.96,-59.76,118.95,185.09,111.62,118.95
-0.42,0.13,-0.91,0.79,-3.43,-4.73,164.71,151.58,485.04,-60.11,118.47,184.76,112.07,118.47
-0.44,0.14,-0.91,6.39,-2.8,-1.35,163.67,150.26,485.68,-60.39,118.34,184.97,112.56,118.34
-0.44,0.13,-0.92,-0.48,-3,-1.61,164.39,150.75,485.63,-60.7,118.17,184.51,113.03,118.17
-0.43,0.13,-0.89,0.28,-6.18,-4.57,164.69,150.74,485.66,-61.32,117.71,184.14,113.17,117.71
-0.46,0.14,-0.93,0.05,-0.42,-1.58,163.81,150.03,485.67,-61.36,117.55,183.74,113.87,117.55
-0.42,0.13,-0.9,-0.97,-0.79,1.41,164.74,151.5,485.57,-61.44,117.69,183.26,114.54,117.69
-0.44,0.13,-0.92,-0.71,-5.89,0.98,164.79,150.86,485.5,-62.04,117.79,182.82,114.69,117.79
-0.46,0.14,-0.9,-1.58,-2.31,3.27,162.93,149.1,485.34,-62.27,118.12,182.27,115.14,118.12
-0.44,0.14,-0.91,-0.62,-2.82,2.91,163.51,150.46,485.28,-62.55,118.41,181.83,115.57,118.41
-0.42,0.12,-0.9,-1.99,-1.14,2.71,166.02,151.97,485.08,-62.67,118.68,181.32,116.19,118.68
-0.42,0.13,-0.91,0.56,-4.88,-1.55,165.23,151.61,484.84,-65.87,118.09,179.2,117.17,118.09
-0.44,0.14,-0.9,-2.28,-3.67,0.43,163.26,150.1,484.61,-66.24,118.13,178.65,117.46,118.13
-0.44,0.13,-0.9,-0.54,-4.53,0.33,163.86,150.1,484.55,-66.69,118.16,178.3,117.67,118.16
-0.43,0.13,-0.91,-1,-5.82,0.48,165.04,150.98,484.45,-67.28,118.21,177.94,117.76,118.21
-0.42,0.14,-0.9,-1,-8.08,-3.9,164.12,151.05,484.35,-68.09,117.82,177.57,117.64,117.82
-0.44,0.14,-0.9,-1.44,-3.61,-2.12,163.44,150,484.21,-68.46,117.61,177.14,117.92,117.61
-0.42,0.14,-0.9,0.85,-2.77,-3.03,164.12,151.02,484.29,-68.74,117.3,176.96,118.31,117.3
-0.43,0.14,-0.92,2.42,-2.25,-2.8,164.62,151.3,484.53,-68.96,117.02,176.95,118.75,117.02
-0.43,0.14,-0.9,1.83,-3.82,-1.83,163.36,150.27,484.72,-69.35,116.83,176.86,119,116.83
-0.44,0.13,-0.91,-0.21,-6.8,1.15,164.23,150.25,484.7,-70.03,116.94,176.59,118.95,116.94
-0.42,0.13,-0.9,1.49,-0.5,-0.22,164.69,151.42,484.85,-70.08,116.92,176.5,119.55,116.92
-0.44,0.13,-0.9,1.28,-3.09,-0.82,164.32,150.44,484.98,-70.4,116.84,176.38,119.87,116.84
-0.45,0.14,-0.9,1.84,-6.74,-0.85,162.8,149.53,485.17,-71.08,116.75,176.29,119.79,116.75
-0.42,0.13,-0.9,0.39,-3.14,0.86,165.25,151.4,485.2,-71.39,116.84,176.11,120.12,116.84
-0.43,0.14,-0.9,-2.31,-5.09,0.88,163.37,150.48,484.97,-71.91,116.93,175.63,120.22,116.93
-0.44,0.14,-0.9,-2.11,-6.1,-2.53,163.55,150.2,484.76,-72.52,116.68,175.18,120.22,116.68
-0.44,0.13,-0.9,-3.73,-3.66,2.13,163.9,150.27,484.37,-72.89,116.9,174.58,120.45,116.9
-0.44,0.13,-0.9,-0.66,-6.66,-3.81,164.7,150.4,484.31,-73.56,116.51,174.31,120.4,116.51
-0.43,0.13,-0.9,-0.48,-3.23,-1.98,164.32,150.48,484.26,-73.89,116.31,174.07,120.68,116.31
-0.43,0.14,-0.9,-0.04,-2.05,-0.28,163.9,150.6,484.26,-74.1,116.28,173.86,121.07,116.28
-0.45,0.14,-0.91,-1.72,1.7,2.66,163.26,149.83,484.08,-73.92,116.56,173.48,121.82,116.56
-0.43,0.13,-0.9,-1.24,-8.19,-2.15,164.85,151.16,483.96,-74.73,116.34,173.18,121.61,116.34
-0.45,0.13,-0.9,-2.65,-1.52,1.44,163.7,149.78,483.68,-74.89,116.49,172.73,122.02,116.49
-0.43,0.13,-0.9,-1.58,-6.33,-2.83,164.64,150.89,483.38,-75.84,116.48,172.1,122.24,116.48
-0.43,0.13,-0.89,-1.01,-1.12,-0.65,164.13,150.45,483.28,-75.95,116.42,171.84,122.69,116.42
-0.44,0.13,-0.91,-0.82,-3.89,-2.19,164.65,150.5,483.19,-76.34,116.2,171.61,122.86,116.2
-0.44,0.13,-0.89,0.54,-2.71,-1.98,163.81,150.01,483.25,-76.62,116,171.51,123.14,116
-0.42,0.12,-0.9,0.33,-5.78,-2.13,166.05,151.53,483.28,-77.2,115.78,171.44,123.14,115.78
-0.43,0.14,-0.9,3.64,-2.53,-3.03,163.77,150.43,483.65,-77.45,115.48,171.64,123.44,115.48
-0.45,0.14,-0.91,-1.4,-3.79,-0.45,163.57,150.06,483.51,-77.83,115.43,171.34,123.59,115.43
-0.44,0.13,-0.9,-1.11,-6.76,-1.29,164.34,150.27,483.39,-78.52,115.3,171.09,123.45,115.3
-0.43,0.13,-0.9,0.45,-1.08,1.49,164.87,150.75,483.44,-78.63,115.45,171.01,123.89,115.45
-0.42,0.12,-0.9,1.24,-2.04,-0.68,165.52,151.41,483.56,-78.84,115.39,171.02,124.24,115.39
-0.44,0.13,-0.88,1.23,-1.37,1.15,163.15,149.46,483.69,-78.97,115.5,170.98,124.61,115.5
-0.42,0.13,-0.9,1.02,-6.76,-2.62,164.35,151.34,483.79,-79.65,115.24,170.95,124.48,115.24
-0.45,0.13,-0.9,2.5,-4.51,-3.31,163.78,149.89,484.04,-80.11,114.91,171.05,124.54,114.91
-0.44,0.13,-0.9,1.57,-3.29,-4.27,164.39,150.34,484.2,-80.44,114.47,171.08,124.73,114.47
-0.44,0.13,-0.9,2.88,-0.43,-0.1,163.68,149.85,484.49,-80.48,114.46,171.21,125.19,114.46
-0.45,0.13,-0.9,2.08,-2.31,1.03,164.14,149.94,484.7,-80.72,114.57,171.28,125.46,114.57
-0.43,0.12,-0.89,1.73,-3.14,-2.74,165.48,151.06,484.87,-81.03,114.3,171.33,125.67,114.3
-0.43,0.12,-0.91,2.45,-2.88,-0.56,165.83,151.58,485.12,-81.32,114.24,171.46,125.9,114.24
-0.44,0.13,-0.9,2.62,-8.07,-4.62,164.32,150.29,485.38,-82.13,113.78,171.58,125.59,113.78
-0.43,0.11,-0.9,0.65,-5.35,-3.52,166.61,151.53,485.45,-82.67,113.42,171.54,125.58,113.42
-0.44,0.13,-0.91,1.21,-7.23,-4.83,164.01,150.18,485.57,-83.39,112.94,171.51,125.36,112.94
-0.44,0.13,-0.91,-2.62,-5.89,-1.23,164.91,150.5,485.31,-83.99,112.81,171.12,125.28,112.81
-0.45,0.13,-0.89,-1.9,-4.94,0.46,163.93,149.4,485.11,-84.49,112.86,170.79,125.27,112.86
